     XXX          0.3377E-02   0.4168E-05   0.4052E-05   0.9668E-07
     XXY          0.2284E-01   0.2819E-04   0.2741E-04   0.6539E-06
     XXZ          0.3513E+04   0.4336E+01   0.4216E+01   0.1006E+00
     XYX          0.2284E-01   0.2819E-04   0.2741E-04   0.6539E-06
     XYY          0.2601E-03   0.3210E-06   0.3121E-06   0.7446E-08
     XYZ          0.1604E+04   0.1980E+01   0.1926E+01   0.4594E-01
     XZX          0.3513E+04   0.4336E+01   0.4216E+01   0.1006E+00
     XZY          0.1604E+04   0.1980E+01   0.1926E+01   0.4594E-01
     XZZ          0.7728E-04   0.9539E-07   0.9276E-07   0.2213E-08
     YXX          0.1982E-01   0.2446E-04   0.2379E-04   0.5674E-06
     YXY          0.1936E-02   0.2390E-05   0.2324E-05   0.5544E-07
     YXZ          0.1605E+04   0.1981E+01   0.1926E+01   0.4594E-01
     YYX          0.1936E-02   0.2390E-05   0.2324E-05   0.5544E-07
     YYY          0.6667E-01   0.8229E-04   0.8002E-04   0.1909E-05
     YYZ         -0.3513E+04  -0.4336E+01  -0.4216E+01  -0.1006E+00
     YZX          0.1605E+04   0.1981E+01   0.1926E+01   0.4594E-01
     YZY         -0.3513E+04  -0.4336E+01  -0.4216E+01  -0.1006E+00
     YZZ          0.2956E-01   0.3649E-04   0.3548E-04   0.8464E-06
     ZXX          0.3484E+04   0.4300E+01   0.4181E+01   0.9974E-01
     ZXY          0.1767E+04   0.2182E+01   0.2121E+01   0.5061E-01
     ZXZ         -0.2719E-01  -0.3356E-04  -0.3263E-04  -0.7784E-06
     ZYX          0.1767E+04   0.2182E+01   0.2121E+01   0.5061E-01
     ZYY         -0.3484E+04  -0.4300E+01  -0.4181E+01  -0.9974E-01
     ZYZ          0.3269E-01   0.4034E-04   0.3923E-04   0.9359E-06
     ZZX         -0.2719E-01  -0.3356E-04  -0.3263E-04  -0.7784E-06
     ZZY          0.3269E-01   0.4034E-04   0.3923E-04   0.9359E-06
     ZZZ         -0.1322E+00  -0.1631E-03  -0.1586E-03  -0.3784E-05
