 1            0.778445
 2            0.608867
 3            0.402120
 4            0.175558
 5            0.070509
 6            0.034399
 7            0.026596
 8            0.019543
 9            0.015383
 10           0.021002
 11           0.016285
 12           0.014527
 13           0.015609
 14           0.016766
 15           0.016766
 16           0.016301
 17           0.014030
 18           0.011453
 19           0.010122
 20           0.009851
 21           0.009906
 22           0.009659
 23           0.009226
 24           0.009226
 25           0.009014
 26           0.008868
 27           0.008619
 28           0.008571
 29           0.009055
 30           0.011547
 31           0.009828
 32           0.009828
 33           0.008530
 34           0.007466
 35           0.008298
 36           0.007202
 37           0.007314
 38           0.010154
 39           0.007676
 40           0.005019
 41           0.005212
 42           0.010058
 43           0.010058
 44           0.004367
 45           0.005220
 46           0.004701
 47           0.010089
 48           0.010089
 49           0.007752
 50           0.007357
 51           0.006962
 52           0.006962
 53           0.006081
 54           0.003090
 55           0.003667
 56           0.002014
 57           0.001687
 58           0.001133
 59           0.000739
 60           0.000570
 61           0.000205
 62           0.000209
 63           0.000206
 64           0.000137
 65           0.000052
 66           0.000064
 67           0.000048
 68           0.000044
 69           0.000036
 70           0.000048
 71           0.000065
 72           0.000032
 73           0.000031
 74           0.000016
 75           0.000012
