 1            0.242649
 2            0.169835
 3            0.114069
 4            0.076032
 5            0.039561
 6            0.036093
 7            0.023890
 8            0.018870
 9            0.014871
 10           0.011320
 11           0.010848
 12           0.010205
 13           0.011297
 14           0.009238
 15           0.006797
 16           0.004410
 17           0.003139
 18           0.002522
 19           0.002709
 20           0.001842
 21           0.000931
 22           0.000735
 23           0.000681
 24           0.000517
 25           0.000517
 26           0.000396
 27           0.000295
 28           0.000232
 29           0.000233
 30           0.000233
 31           0.000117
 32           0.000055
 33           0.000055
 34           0.000055
 35           0.000114
