 1            2262.412288
 2            1030.087468
 3            617.504918
 4            403.576171
 5            205.282492
 6            171.571529
 7            147.767119
 8            100.808274
 9            66.782610
 10           38.957951
 11           31.982336
 12           26.007168
 13           25.700650
 14           16.306175
 15           9.908732
 16           6.990953
 17           4.039343
 18           2.805422
 19           2.489666
 20           1.478089
 21           0.792523
 22           0.546265
 23           0.346545
 24           0.201607
 25           0.213960
 26           0.123375
 27           0.082649
 28           0.031062
 29           0.011363
 30           0.024147
 31           0.003047
 32           0.000000
 33           0.007613
 34           0.000422
 35           0.596321
