 1            0.742112
 2            0.568975
 3            0.496381
 4            0.411099
 5            0.200818
 6            0.200818
 7            0.121869
 8            0.112646
 9            0.081306
 10           0.064178
 11           0.064178
 12           0.055441
 13           0.042364
 14           0.027262
 15           0.032430
 16           0.021689
 17           0.024626
 18           0.027789
 19           0.021690
 20           0.019724
 21           0.018668
 22           0.017169
 23           0.013898
 24           0.012686
 25           0.008514
 26           0.015906
 27           0.006711
 28           0.007015
 29           0.004779
 30           0.004779
 31           0.003948
 32           0.004538
 33           0.004686
 34           0.003884
 35           0.001914
 36           0.000852
 37           0.000559
 38           0.000265
 39           0.000190
 40           0.000098
 41           0.000083
 42           0.000161
 43           0.000171
 44           0.000071
 45           0.000026
 46           0.000017
 47           0.000023
 48           0.000023
 49           0.000036
